/net6 X,/net6 Y
-40,0.8499913250307167
-30.58823529411764,0.8355349663459056
-21.17647058823529,0.8210395076867986
-11.76470588235294,0.8065056570064767
-2.352941176470583,0.7919329189211612
7.05882352941177,0.7773206072704151
16.47058823529412,0.762667723280046
25.88235294117648,0.7479727443159219
35.29411764705883,0.7332333030242367
44.70588235294119,0.7184457480282643
54.11764705882354,0.7036046174640775
63.5294117647059,0.6887021563508779
72.94117647058825,0.6737281806534055
82.35294117647059,0.6586707613834362
91.76470588235294,0.6435181333390292
101.1764705882353,0.6282616475526162
110.5882352941176,0.6128986630529217
120,0.5974339088169954
