CTAT_deriv X,CTAT_deriv Y
-30.58823529411764,-0.001535988110261179
-21.17647058823529,-0.001540142482530125
-11.76470588235294,-0.001544221634784199
-2.352941176470583,-0.001548353421564767
7.05882352941177,-0.00155255811289178
16.47058823529412,-0.001556868923976719
25.88235294117648,-0.001561341514938184
35.29411764705883,-0.001566065637241546
44.70588235294119,-0.001571177718322067
54.11764705882354,-0.001576870122444846
63.5294117647059,-0.001583386493277457
72.94117647058825,-0.001590984917856454
82.35294117647059,-0.001599850797434237
91.76470588235294,-0.001609966729718242
101.1764705882353,-0.001621001614806385
110.5882352941176,-0.001632317103092533
120,-0.001643130137567168
