PTAT X,PTAT Y
-40,0.3515559209194328
-30.58823529411764,0.3653362647192099
-21.17647058823529,0.3793850338878962
-11.76470588235294,0.3936649682404462
-2.352941176470583,0.4081618482202716
7.05882352941177,0.422861210181267
16.47058823529412,0.4377475091816631
25.88235294117648,0.4528028124889212
35.29411764705883,0.4680048762072079
44.70588235294119,0.4833245473766165
54.11764705882354,0.4987226642472473
63.5294117647059,0.514147201450788
72.94117647058825,0.5295323989319605
82.35294117647059,0.54480260277041
91.76470588235294,0.5598831603844268
101.1764705882353,0.5747173419366676
110.5882352941176,0.5892829216750953
120,0.6035999213229107
