PTAT_deriv X,PTAT_deriv Y
-30.58823529411764,0.001464161528726317
-21.17647058823529,0.001492681724172925
-11.76470588235294,0.00151724302495843
-2.352941176470583,0.001540293497856449
7.05882352941177,0.001561807208355763
16.47058823529412,0.001581669268792082
25.88235294117648,0.001599625976396176
35.29411764705883,0.001615219270067961
44.70588235294119,0.001627715061749661
54.11764705882354,0.001636049917504529
63.5294117647059,0.001638857077876193
72.94117647058825,0.00163467723237458
82.35294117647059,0.001622459157835268
91.76470588235294,0.001602309246489277
101.1764705882353,0.001576131789925587
110.5882352941176,0.00154759284720795
120,0.001521181212580386
