Loop Gain Phase X,Loop Gain Phase Y,Loop Gain dB20 X,Loop Gain dB20 Y
1,179.9986859964116,1,69.0932021063922
1.584893192461114,179.9979174446584,1.584893192461114,69.09320210293843
2.511886431509581,179.9966993722184,2.511886431509581,69.09320209426164
3.981071705534974,179.9947688575068,3.981071705534974,69.09320207245425
6.309573444801934,179.9917091979087,6.309573444801934,69.09320201766317
10,179.9868599643443,10,69.09320188004776
15.84893192461114,179.9791744474934,15.84893192461114,69.09320153437207
25.11886431509581,179.966993725804,25.11886431509581,69.09320066607133
39.81071705534975,179.9476885894801,39.81071705534975,69.09319848501367
63.09573444801936,179.9170920364609,63.09573444801936,69.09319300642363
100.0000000000001,179.8685998718524,100.0000000000001,69.09317924488539
158.4893192461115,179.7917453842442,158.4893192461115,69.09314467763828
251.1886431509582,179.6699408780246,251.1886431509582,69.09305784984029
398.1071705534976,179.4769003057807,398.1071705534976,69.09283975596284
630.9573444801939,179.1709777313639,630.9573444801939,69.09229197720954
1000.000000000001,178.6862270558534,1000.000000000001,69.09091632387577
1584.893192461115,177.9183624316719,1584.893192461115,69.08746275987147
2511.886431509583,176.7030215673681,2511.886431509583,69.07879989441847
3981.071705534978,174.7833423226717,3981.071705534978,69.05711568033097
6309.573444801941,171.7664333470017,6309.573444801941,69.00312025290599
10000.00000000001,167.0836566016544,10000.00000000001,68.87037924451415
15848.93192461116,160.0263124470862,15848.93192461116,68.55381753871781
25118.86431509584,150.0592708009623,25118.86431509584,67.84761091961246
39810.71705534979,137.6156994157241,39810.71705534979,66.45838303062774
63095.73444801944,124.675654497158,63095.73444801944,64.18566909851727
100000.0000000002,113.6143569777437,100000.0000000002,61.12520404946642
158489.3192461117,105.4784292431812,158489.3192461117,57.56553811113051
251188.6431509586,100.0012954982954,251188.6431509586,53.75735416681501
398107.1705534981,96.47969529333012,398107.1705534981,49.84390135504914
630957.3444801947,94.25650323341686,630957.3444801947,45.89511720286914
1000000.000000002,92.80450516094461,1000000.000000002,41.94284401998903
1584893.192461117,91.711464909623,1584893.192461117,37.99274022656436
2511886.431509587,90.72579435526514,2511886.431509587,34.03315243123819
3981071.705534983,89.73242094176774,3981071.705534983,30.05626881563895
6309573.44480195,88.61449654721012,6309573.44480195,26.06428762054412
10000000.00000003,87.17952906403383,10000000.00000003,22.05954719321363
15848931.92461118,85.14271225510574,15848931.92461118,18.03706787883779
25118864.31509588,82.10172563880913,25118864.31509588,13.97784946350264
39810717.05534985,77.51162128092506,39810717.05534985,9.834540211721345
63095734.44801953,70.74859832158295,63095734.44801953,5.502844815628261
100000000.0000003,61.48019929851989,100000000.0000003,0.793569034396238
158489319.2461119,50.38683295502815,158489319.2461119,-4.506436119659121
251188643.1509589,39.02083889884868,251188643.1509589,-10.40741720721077
398107170.5534986,27.39078621295401,398107170.5534986,-16.65221677087995
630957344.4801955,12.68355183275309,630957344.4801955,-23.23594842035303
1000000000.000004,-6.273975027965438,1000000000.000004,-30.76691352658694
1584893192.461119,-25.42298070973977,1584893192.461119,-39.69069302036382
2511886431.50959,-39.97520943662794,2511886431.50959,-49.59479229740685
3981071705.534988,-48.96074141446127,3981071705.534988,-59.56051188288102
6309573444.801957,-54.94175494606625,6309573444.801957,-68.68896279179532
10000000000,-61.18155256331593,10000000000,-76.42423976519522
